101;ABBIATI Christian;P;6.50;5.50;MIL;1;0;
103;AMELIA Marco;P;6.00;5.00;PAL;1;0;
104;ANTONIOLI Francesco;P;4.50;3.50;BOL;1;0;
109;BENUSSI Francesco;P;5.50;4.00;LEC;1;0;
110;BIZZARRI Benjamin;P;6.50;6.50;CAT;0;0;
111;BUFFON Gianluigi;P;6.00;6.00;JUV;0;0;
113;CAMPAGNOLO Andrea;P;6.50;3.50;REG;3;0;
114;CARRIZO Juan Pablo;P;6.50;2.50;LAZ;4;0;
119;COPPOLA Ferdinando;P;5.00;4.00;ATA;1;0;
120;CURCI Gianluca;P;6.50;5.00;SIE;1;0;
123;DONI Alexander Marangao;P;6.00;6.00;ROM;0;0;
128;FREY Sebastian;P;6.50;6.50;FIO;0;0;
131;HANDANOVIC Samir;P;6.00;6.00;UDI;0;0;
132;IEZZO Gennaro;P;6.50;6.50;NAP;0;0;
134;JULIO CESAR Soares De Espinola;P;7.00;6.00;INT;1;0;
138;MANNINGER Alexander;P;7.00;7.00;JUV;0;0;
139;MARCHETTI Federico;P;6.50;5.50;CAG;1;0;
141;MIRANTE Antonio;P;6.00;5.00;SAM;1;0;
151;RUBINHO Fernando Moedim;P;5.50;3.50;GEN;2;0;
153;SERENI Matteo;P;6.00;3.00;TOR;3;0;
156;SQUIZZI Lorenzo;P;6.00;5.00;CHI;1;0;
201;ACCARDI Pietro;D;6.00;6.00;SAM;0;0;
202;AGOSTINI Alessandro;D;5.50;5.50;CAG;0;0;
209;ANTUNES Vitorino Gabriel;D;6.00;6.00;LEC;0;0;
210;ARONICA Salvatore;D;6.00;6.00;NAP;0;0;
212;BALZARETTI Federico;D;6.00;6.00;PAL;0;0;
217;BIANCO Paolo;D;6.00;5.50;CAG;0;0;
218;BIAVA Giuseppe;D;6.00;6.00;GEN;0;0;
221;BOVO Cesare;D;7.00;10.00;PAL;1;0;
223;BRITOS Miguel Angel;D;6.50;6.50;BOL;0;0;
224;BURDISSO Nicolas Andres;D;6.00;6.00;INT;0;0;
232;CARROZZIERI Morris;D;6.50;6.00;PAL;0;0;
233;CASSANI Mattia;D;6.50;6.50;PAL;0;0;
234;CASSETTI Marco;D;6.00;6.00;ROM;0;0;
235;CASTELLINI Marcello;D;6.00;6.00;BOL;0;0;
237;CHIELLINI Giorgio;D;6.50;6.50;JUV;0;0;
238;CHIVU Cristian;D;6.00;6.00;INT;0;0;
239;CICINHO Joao De Cezare;D;0.00;0.00;ROM;0;0;
240;CIRILLO Bruno;D;5.00;5.00;REG;0;0;
241;CODA Andrea;D;6.00;6.00;UDI;0;0;
243;COMOTTO Gianluca;D;6.00;6.00;FIO;0;0;
244;CONTINI Matteo;D;0.00;0.00;NAP;0;0;
247;COSTA Andrea;D;5.00;5.00;REG;0;0;
250;CRISCITO Domenico;D;5.50;5.50;GEN;0;0;
254;DE CEGLIE Paolo;D;0.00;0.00;JUV;0;0;
258;DI LORETO Marco;D;5.50;5.50;TOR;0;0;
262;DOMIZZI Maurizio;D;6.00;6.00;UDI;0;0;
268;FICAGNA Daniele;D;6.50;9.50;SIE;1;0;
271;GAMBERINI Alessandro;D;6.50;6.50;FIO;0;0;
272;GARICS Gyorgy;D;6.00;6.00;ATA;0;0;
273;GASTALDELLO Daniele;D;5.00;5.00;SAM;0;0;
279;JANKULOVSKI Marek;D;6.50;7.00;MIL;0;1;
281;KALADZE Kakha;D;6.00;5.50;MIL;0;0;
284;KROLDRUP Per;D;5.50;5.50;FIO;0;0;
286;LANZARO Maurizio;D;6.00;5.50;REG;0;0;
288;LOPEZ Diego Luis;D;5.00;5.00;CAG;0;0;
289;LORIA Simone;D;6.00;6.00;ROM;0;0;
290;LUCCHINI Stefano;D;6.50;6.50;SAM;0;0;
291;LUKOVIC Aleksandar;D;6.50;6.50;UDI;0;0;
293;MAICON Douglas;D;7.50;10.50;INT;1;0;
294;MALAGO' Marco;D;6.00;5.50;CHI;0;0;
295;MALDINI Paolo;D;6.00;6.00;MIL;0;0;
297;MANDELLI Davide;D;6.50;6.50;CHI;0;0;
298;MANFREDINI Thomas;D;5.50;5.50;ATA;0;0;
301;MATERAZZI Marco;D;6.50;6.50;INT;0;0;
305;MELLBERG Olof;D;6.00;6.00;JUV;0;0;
309;MOLINARO Cristian;D;5.50;5.50;JUV;0;0;
312;MOTTA Marco;D;6.50;6.50;UDI;0;0;
317;OGBONNA Angelo;D;6.00;6.00;TOR;0;0;
318;PANUCCI Christian;D;7.00;10.00;ROM;1;0;
321;PELLEGRINO Maximiliano;D;6.00;6.00;ATA;0;0;
322;PIERI Mirko;D;6.00;6.00;SAM;0;0;
323;PISANO Francesco;D;5.50;5.50;CAG;0;0;
324;PISANO Marco;D;5.50;3.00;TOR;0;0;
325;POLENGHI Tiziano;D;6.00;6.00;LEC;0;0;
327;PORTANOVA Daniele;D;5.50;5.50;SIE;0;0;
332;RIISE John Arne;D;5.50;5.50;ROM;0;0;
333;RINAUDO Leandro;D;6.00;6.00;NAP;0;0;
339;ROSSETTINI Luca;D;6.00;7.00;SIE;0;1;
340;ROSSI Andrea;D;6.00;5.50;SIE;0;0;
342;ROZEHNAL David;D;5.00;5.00;LAZ;0;0;
344;SABATO Rocco;D;5.50;5.50;CAT;0;0;
346;SANTACROCE Fabiano;D;4.50;3.50;NAP;0;0;
348;SARDO Gennaro;D;6.00;6.00;CAT;0;0;
350;SCARDINA Francesco;D;6.00;6.00;CHI;0;0;
353;SILVESTRE Matias;D;6.50;6.50;CAT;0;0;
354;SILVESTRI Cristian;D;0.00;0.00;CAT;0;0;
357;SIVIGLIA Sebastiano;D;5.50;5.50;LAZ;0;0;
359;STANKEVICIUS Marius;D;5.00;5.00;SAM;0;0;
360;STENDARDO Guglielmo;D;6.50;6.50;LEC;0;0;
361;STOVINI Lorenzo;D;7.00;6.50;CAT;0;0;
363;TALAMONTI Leonardo Jose';D;5.50;5.50;ATA;0;0;
365;TERZI Claudio;D;5.00;5.00;BOL;0;0;
367;VALDEZ Carlos Adrian;D;5.00;4.50;REG;0;0;
368;VANDEN BORRE Anthony;D;5.50;5.50;GEN;0;0;
371;ZAMBROTTA Gianluca;D;6.50;9.00;MIL;1;0;
375;ZENONI Cristian;D;6.00;6.00;BOL;0;0;
376;ZUNIGA Juan Camilo;D;0.00;0.00;SIE;0;0;
378;PRATALI Francesco;D;5.00;4.50;TOR;0;0;
380;FERRARI Matteo;D;5.50;5.00;GEN;0;0;
381;BOTTINELLI Jonathan;D;6.00;6.00;SAM;0;0;
389;YEPES Mario Alberto;D;6.50;6.50;CHI;0;0;
503;AMBROSINI Massimo;C;7.00;7.00;MIL;0;0;
505;AMOROSO Christian;C;0.00;0.00;BOL;0;0;
506;AQUILANI Alberto;C;7.00;10.00;ROM;1;0;
508;ARIATTI Luca;C;5.50;5.00;LEC;0;0;
509;BAIOCCO Davide;C;6.50;6.50;CAT;0;0;
510;BARILLA' Antonino;C;6.00;6.00;REG;0;0;
511;BARONE Simone;C;6.00;6.00;TOR;0;0;
513;BARRETO Edgar;C;5.00;5.00;REG;0;0;
516;BIAGIANTI Marco;C;6.00;6.00;CAT;0;0;
517;BIONDINI Davide;C;5.50;5.50;CAG;0;0;
518;BLASI Manuele;C;6.50;6.50;NAP;0;0;
521;BOMBARDINI Davide;C;5.50;5.50;BOL;0;0;
523;BOUDIANSKI Viktor;C;5.00;5.00;LEC;0;0;
524;BRESCIANO Mark;C;6.50;6.50;PAL;0;0;
525;BRIENZA Franco;C;5.50;5.50;REG;0;0;
526;BRIGHI Matteo;C;6.50;6.50;ROM;0;0;
527;BROCCHI Christian;C;6.00;5.50;LAZ;0;0;
529;CAMBIASSO Esteban Matias;C;7.00;7.00;INT;0;0;
531;CARBONI Ezequiel;C;6.50;6.50;CAT;0;0;
532;CARMONA Carlos Emilio;C;5.00;5.00;REG;0;0;
535;CASERTA Fabio;C;6.50;9.50;LEC;1;0;
537;CIGARINI Luca;C;6.00;6.00;ATA;0;0;
538;CODREA Paul Costantin;C;6.00;6.00;SIE;0;0;
544;CORINI Eugenio;C;5.00;5.00;TOR;0;0;
545;COSSU Andrea;C;6.00;6.00;CAG;0;0;
551;D'AGOSTINO Gaetano;C;5.00;5.00;UDI;0;0;
553;D'ANNA Emanuele;C;6.50;6.50;CHI;0;0;
554;DE ASCENTIS Diego;C;6.00;6.00;ATA;0;0;
556;DE ROSSI Daniele;C;6.50;6.50;ROM;0;0;
557;DE SILVESTRI Lorenzo;C;0.00;0.00;LAZ;0;0;
560;DELVECCHIO Gennaro;C;6.00;6.00;SAM;0;0;
561;DESSENA Daniele;C;6.00;5.50;SAM;0;0;
562;DI GENNARO Davide;C;5.00;5.00;REG;0;0;
564;DIANA Aimo Stefano;C;6.00;6.00;TOR;0;0;
566;DONADEL Marco;C;6.50;6.50;FIO;0;0;
567;DONI Cristiano;C;6.50;6.50;ATA;0;0;
570;EMERSON Ferreira;C;0.00;0.00;MIL;0;0;
574;FABIANO Medina da Silva;C;5.50;5.00;LEC;0;0;
575;FELIPE MELO de Carvalho;C;5.50;5.50;FIO;0;0;
577;FERREIRA PINTO Adriano;C;5.50;5.50;ATA;0;0;
579;FINI Michele;C;5.50;5.50;CAG;0;0;
581;FLAMINI Mathieu;C;6.00;6.00;MIL;0;0;
582;FOGGIA Pasquale;C;6.00;6.00;LAZ;0;0;
583;FRANCESCHINI Daniele;C;6.50;9.50;SAM;1;0;
584;GALLOPPA Daniele;C;6.50;6.00;SIE;0;0;
585;GARGANO Walter;C;7.00;7.00;NAP;0;0;
587;GATTUSO Gennaro Ivan;C;7.00;7.00;MIL;0;0;
588;GIACOMAZZI Guillermo;C;5.50;5.50;LEC;0;0;
590;GOBBI Massimo;C;6.00;6.00;FIO;0;0;
593;GUANA Roberto;C;0.00;0.00;PAL;0;0;
594;GUARENTE Tiberio;C;6.00;5.50;ATA;0;0;
595;HALLFREDSSON Emil;C;0.00;0.00;REG;0;0;
597;INLER Gokan;C;6.50;6.00;UDI;0;0;
598;ISLA Mauricio;C;5.50;5.50;UDI;0;0;
599;ITALIANO Vincenzo;C;6.00;6.00;CHI;0;0;
600;JANKOVIC Bosko;C;6.00;6.00;GEN;0;0;
603;JORGENSEN Martin;C;6.50;6.00;FIO;0;0;
604;JOVETIC Stevan;C;6.00;5.50;FIO;0;0;
605;JURIC Ivan;C;6.00;6.00;GEN;0;0;
606;KAKA' Ricardo Izecson Santos Leite;C;7.00;10.00;MIL;1;0;
607;KHARJA Houssine;C;5.50;5.50;SIE;0;0;
