102;AMELIA Marco;GEN;P;7.00;2;0;0;0;0;5.00;
103;ANDUJAR Mariano Gonzalo;CAT;P;6.00;2;0;0;0;0;4.00;
104;ARTUR Gusmao;ROM;P;6.50;3;0;0;0;0;3.50;
108;BUFFON Gianluigi;JUV;P;6.00;0;0;0;0;0;6.00;
110;CASTELLAZZI Luca;SAM;P;6.50;1;0;0;0;0;5.50;
113;CONSIGLI Andrea;ATA;P;6.50;1;0;0;0;0;5.50;
115;CURCI Gianluca;SIE;P;6.50;2;0;0;0;0;4.50;
116;DE LUCIA Alfonso;LIV;P;6.50;0;0;0;0;0;6.50;
117;DE SANCTIS Morgan;NAP;P;6.00;2;1;0;0;0;4.00;
122;FREY Sebastian;FIO;P;6.50;1;0;0;0;0;5.50;
125;GILLET Jean Francois;BAR;P;6.00;1;1;0;0;0;5.00;
126;HANDANOVIC Samir;UDI;P;5.50;2;0;0;0;0;3.50;
129;JULIO CESAR Soares De Espinola;INT;P;6.00;1;0;0;0;0;5.00;
136;MARCHETTI Federico;CAG;P;6.50;0;0;0;0;0;6.50;
137;MIRANTE Antonio;PAR;P;7.50;2;1;0;0;0;5.50;
138;MUSLERA Fernando;LAZ;P;6.00;0;0;0;0;0;6.00;
145;RUBINHO Fernando Moedim;PAL;P;5.00;1;0;0;0;0;4.00;
151;SORRENTINO Stefano;CHI;P;6.50;1;0;0;0;0;5.50;
153;STORARI Marco;MIL;P;6.00;1;0;0;0;0;5.00;
157;VIVIANO Emiliano;BOL;P;7.00;1;0;0;0;0;6.00;
202;AGOSTINI Alessandro;CAG;D;6.00;0;0;0;0;0;6.00;
203;ANDREOLLI Marco;ROM;D;6.00;0;0;1;0;0;5.50;
211;ASTORI Davide;CAG;D;6.00;0;0;0;0;0;6.00;
212;AUGUSTYN Blazej;CAT;D;4.00;0;0;0;1;0;3.00;
213;BALZARETTI Federico;PAL;D;6.00;0;0;1;0;0;5.50;
